video_id,ground_truth,gt_normalized,gpt4o_prediction,gemini_prediction,gpt4o_correct,gemini_correct,both_correct,both_wrong,gpt4o_better,gemini_better
images_1_001,none,none,ghost probing,none,False,True,False,False,False,True
images_1_002,5s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_1_003,2s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_004,none,none,ghost probing,none,False,True,False,False,False,True
images_1_005,8s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_006,9s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_007,6s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_008,3s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_009,none,none,ghost probing,none,False,True,False,False,False,True
images_1_010,15s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_1_011,11s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_012,11s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_013,8s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_1_014,5s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_015,5s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_016,4s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_1_017,17s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_018,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_019,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_020,none,none,ghost probing,none,False,True,False,False,False,True
images_1_021,3s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_022,5s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_023,none,none,ghost probing,none,False,True,False,False,False,True
images_1_024,none,none,none,none,True,True,True,False,False,False
images_1_025,none,none,ghost probing,none,False,True,False,False,False,True
images_1_026,none,none,ghost probing,none,False,True,False,False,False,True
images_1_027,4s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_2_001,none,none,ghost probing,none,False,True,False,False,False,True
images_2_002,none,none,ghost probing,none,False,True,False,False,False,True
images_2_003,none,none,ghost probing,none,False,True,False,False,False,True
