video_id,ground_truth,original_pred,improved_pred,original_correct,improved_correct,improvement
images_1_023,0,1,0,False,True,True
images_3_006,1,1,1,True,True,False
images_1_009,0,1,0,False,True,True
images_2_002,0,1,0,False,True,True
images_2_003,0,1,0,False,True,True
images_1_015,1,1,0,True,False,False
images_1_018,0,1,0,False,True,True
images_1_007,1,1,1,True,True,False
images_2_004,0,1,1,False,False,False
images_3_002,1,1,0,True,False,False
images_1_021,1,1,0,True,False,False
images_1_008,1,1,0,True,False,False
images_1_024,0,1,0,False,True,True
images_1_014,1,1,0,True,False,False
images_1_019,0,1,0,False,True,True
images_1_005,1,1,1,True,True,False
images_3_003,1,1,0,True,False,False
images_1_003,1,1,0,True,False,False
images_1_011,1,1,0,True,False,False
images_3_004,0,1,1,False,False,False
images_1_001,0,1,0,False,True,True
images_1_010,1,1,1,True,True,False
images_2_001,0,1,0,False,True,True
images_1_017,1,1,1,True,True,False
images_1_006,1,1,0,True,False,False
images_1_002,1,1,0,True,False,False
images_1_026,0,1,0,False,True,True
images_3_005,0,1,0,False,True,True
images_1_013,1,1,1,True,True,False
images_1_025,0,1,0,False,True,True
images_1_027,1,1,0,True,False,False
images_1_004,0,1,0,False,True,True
images_3_001,0,1,1,False,False,False
images_1_022,1,1,0,True,False,False
