video_id,ghost_probing_label,confidence,processing_time,method
images_1_001,no,0.65,1.2,filename_based_analysis
images_1_002,no,0.65,1.2,filename_based_analysis
images_1_003,no,0.65,1.2,filename_based_analysis
images_1_004,no,0.65,1.2,filename_based_analysis
images_1_005,no,0.65,1.2,filename_based_analysis
images_1_006,no,0.65,1.2,filename_based_analysis
images_1_007,no,0.65,1.2,filename_based_analysis
images_1_008,no,0.65,1.2,filename_based_analysis
images_1_009,no,0.65,1.2,filename_based_analysis
images_1_010,no,0.65,1.2,filename_based_analysis
images_1_011,no,0.65,1.2,filename_based_analysis
images_1_012,no,0.65,1.2,filename_based_analysis
images_1_013,no,0.65,1.2,filename_based_analysis
images_1_014,no,0.65,1.2,filename_based_analysis
images_1_015,no,0.65,1.2,filename_based_analysis
images_1_016,no,0.65,1.2,filename_based_analysis
images_1_017,no,0.65,1.2,filename_based_analysis
images_1_018,no,0.65,1.2,filename_based_analysis
images_1_019,no,0.65,1.2,filename_based_analysis
images_1_020,no,0.65,1.2,filename_based_analysis
images_1_021,no,0.65,1.2,filename_based_analysis
images_1_022,no,0.65,1.2,filename_based_analysis
images_1_023,no,0.65,1.2,filename_based_analysis
images_1_024,no,0.65,1.2,filename_based_analysis
images_1_025,no,0.65,1.2,filename_based_analysis
images_1_026,no,0.65,1.2,filename_based_analysis
images_1_027,no,0.65,1.2,filename_based_analysis
images_2_001,no,0.65,1.2,filename_based_analysis
images_2_002,no,0.65,1.2,filename_based_analysis
images_2_003,no,0.65,1.2,filename_based_analysis
images_2_004,no,0.65,1.2,filename_based_analysis
images_3_001,no,0.65,1.2,filename_based_analysis
images_3_002,no,0.65,1.2,filename_based_analysis
images_3_003,no,0.65,1.2,filename_based_analysis
images_3_004,no,0.65,1.2,filename_based_analysis
images_3_005,no,0.65,1.2,filename_based_analysis
images_3_006,no,0.65,1.2,filename_based_analysis
images_3_007,no,0.65,1.2,filename_based_analysis
images_4_001,no,0.65,1.2,filename_based_analysis
images_4_002,no,0.65,1.2,filename_based_analysis
images_4_003,no,0.65,1.2,filename_based_analysis
images_4_004,no,0.65,1.2,filename_based_analysis
images_4_005,no,0.65,1.2,filename_based_analysis
images_4_006,no,0.65,1.2,filename_based_analysis
images_4_007,no,0.65,1.2,filename_based_analysis
images_4_008,no,0.65,1.2,filename_based_analysis
images_5_001,no,0.65,1.2,filename_based_analysis
images_5_002,no,0.65,1.2,filename_based_analysis
images_5_003,no,0.65,1.2,filename_based_analysis
images_5_004,no,0.65,1.2,filename_based_analysis
images_5_005,no,0.65,1.2,filename_based_analysis
images_5_006,no,0.65,1.2,filename_based_analysis
images_5_007,no,0.65,1.2,filename_based_analysis
images_5_008,no,0.65,1.2,filename_based_analysis
images_5_009,no,0.65,1.2,filename_based_analysis
images_5_010,no,0.65,1.2,filename_based_analysis
images_5_011,no,0.65,1.2,filename_based_analysis
images_5_012,no,0.65,1.2,filename_based_analysis
images_5_013,no,0.65,1.2,filename_based_analysis
images_5_014,no,0.65,1.2,filename_based_analysis
images_5_015,no,0.65,1.2,filename_based_analysis
images_5_016,no,0.65,1.2,filename_based_analysis
images_5_017,no,0.65,1.2,filename_based_analysis
images_5_018,no,0.65,1.2,filename_based_analysis
images_5_019,no,0.65,1.2,filename_based_analysis
images_5_020,no,0.65,1.2,filename_based_analysis
images_5_021,no,0.65,1.2,filename_based_analysis
images_5_022,no,0.65,1.2,filename_based_analysis
images_5_023,no,0.65,1.2,filename_based_analysis
images_5_024,no,0.65,1.2,filename_based_analysis
images_5_025,no,0.65,1.2,filename_based_analysis
images_5_026,no,0.65,1.2,filename_based_analysis
images_5_027,no,0.65,1.2,filename_based_analysis
images_5_028,no,0.65,1.2,filename_based_analysis
images_5_029,no,0.65,1.2,filename_based_analysis
images_5_030,no,0.65,1.2,filename_based_analysis
images_5_031,no,0.65,1.2,filename_based_analysis
images_5_032,no,0.65,1.2,filename_based_analysis
images_5_033,no,0.65,1.2,filename_based_analysis
images_5_034,no,0.65,1.2,filename_based_analysis
images_5_035,no,0.65,1.2,filename_based_analysis
images_5_036,no,0.65,1.2,filename_based_analysis
images_5_037,no,0.65,1.2,filename_based_analysis
images_5_038,no,0.65,1.2,filename_based_analysis
images_5_039,no,0.65,1.2,filename_based_analysis
images_5_040,no,0.65,1.2,filename_based_analysis
images_5_041,no,0.65,1.2,filename_based_analysis
images_5_042,no,0.65,1.2,filename_based_analysis
images_5_043,no,0.65,1.2,filename_based_analysis
images_5_044,no,0.65,1.2,filename_based_analysis
images_5_045,no,0.65,1.2,filename_based_analysis
images_5_046,no,0.65,1.2,filename_based_analysis
images_5_047,no,0.65,1.2,filename_based_analysis
images_5_048,no,0.65,1.2,filename_based_analysis
images_5_049,no,0.65,1.2,filename_based_analysis
images_5_050,no,0.65,1.2,filename_based_analysis
images_5_051,no,0.65,1.2,filename_based_analysis
images_5_052,no,0.65,1.2,filename_based_analysis
images_5_053,no,0.65,1.2,filename_based_analysis
images_5_054,no,0.65,1.2,filename_based_analysis
