video_id,ground_truth_label,
images_1_001.avi,none,没有遮挡物不算鬼探头
images_1_002.avi,5s: ghost probing,
images_1_003.avi,2s: ghost probing,
images_1_004.avi,none,
images_1_005.avi,8s: ghost probing,
images_1_006.avi,9s: ghost probing,
images_1_007.avi,6s: ghost probing,
images_1_008.avi,3s: ghost probing,
images_1_009.avi,none,没有遮挡物不算鬼探头
images_1_010.avi,15s: ghost probing,???
images_1_011.avi,11s: ghost probing,
images_1_012.avi,11s: ghost probing,
images_1_013.avi,8s: ghost probing,
images_1_014.avi,5s: ghost probing,
images_1_015.avi,5s: ghost probing,
images_1_016.avi,4s: ghost probing,???
images_1_017.avi,17s: ghost probing,
images_1_018.avi,none,
images_1_019.avi,none,
images_1_020.avi,12s: ghost probing,黑夜和远光灯是遮挡物???
images_1_021.avi,3s: ghost probing,
images_1_022.avi,5s: ghost probing,
images_1_023.avi,none,
images_1_024.avi,none,
images_1_025.avi,none,
images_1_026.avi,none,
images_1_027.avi,4s: ghost probing,
images_2_001.avi,none,
images_2_002.avi,none,
images_2_003.avi,none,
images_2_004.avi,none,
images_3_001.avi,none,
images_3_002.avi,none,???鬼探头向前看几秒才算遮挡?
images_3_003.avi,none,???
images_3_004.avi,none,
images_3_005.avi,none,
images_3_006.avi,4s: ghost probing,
images_3_007.avi,3s: ghost probing,
images_4_001.avi,none,
images_4_002.avi,6s: ghost probing,
images_4_003.avi,4s: ghost probing,
images_4_004.avi,6s: ghost probing,
images_4_005.avi,6s: ghost probing,
images_4_006.avi,3s: ghost probing,  
images_4_007.avi,none,
images_4_008.avi,none,
images_5_001.avi,none,
images_5_002.avi,cut-in,
images_5_003.avi,none,
images_5_004.avi,none,
images_5_005.avi,none,
images_5_006.avi,6s: ghost probing,
images_5_007.avi,none,
images_5_008.avi,none,
images_5_009.avi,none,
images_5_010.avi,5s: ghost probing,?
images_5_011.avi,3s: ghost probing,?
images_5_012.avi,13s: ghost probing,
images_5_013.avi,none,"夜色不算遮挡,光子计数可以解决黑暗里看清"
images_5_014.avi,none,
images_5_015.avi,2s: ghost probing,
images_5_016.avi,none,
images_5_017.avi,none,
images_5_018.avi,none,
images_5_019.avi,none,
images_5_020.avi,11s: ghost probing,
images_5_021.avi,4s: ghost probing,
images_5_022.avi,none,
images_5_023.avi,7s: ghost probing,????最早露头是在3s
images_5_024.avi,none,
images_5_025.avi,none,
images_5_026.avi,none,
images_5_027.avi,3s: ghost probing,
images_5_028.avi,7s: ghost probing,
images_5_029.avi,none,
images_5_030.avi,none,
images_5_031.avi,2s: ghost probing,
images_5_032.avi,none,
images_5_033.avi,5s: ghost probing,
images_5_034.avi,none,
images_5_035.avi,12s: ghost probing,
images_5_036.avi,none,
images_5_037.avi,6s: ghost probing,
images_5_038.avi,13s: cut-in,
images_5_039.avi,7s: ghost probing,
images_5_040.avi,none,
images_5_041.avi,5s: ghost probing,
images_5_042.avi,none,
images_5_043.avi,13s: ghost probing,
images_5_044.avi,4s: ghost probing,
images_5_045.avi,5s: ghost probing,
images_5_046.avi,2s: ghost probing,
images_5_047.avi,2s: ghost probing,
images_5_048.avi,none,
images_5_049.avi,3s: ghost probing,
images_5_050.avi,2s: ghost probing,
images_5_051.avi,2s: ghost probing,
images_5_052.avi,3s: ghost probing,
images_5_053.avi,7s: ghost probing,
images_5_054.avi,none,
images_5_055.avi,none,?
images_5_056.avi,11s: ghost probing,
images_5_057.avi,none,
images_5_058.avi,2s: ghost probing,
images_5_059.avi,3s: ghost probing,
images_5_060.avi,3s: ghost probing,
images_5_061.avi,14s: ghost probing,
images_5_062.avi,4s: ghost probing,
images_5_063.avi,13s: ghost probing,
images_5_064.avi,2s: ghost probing,
images_5_065.avi,none,
images_5_066.avi,none,
images_5_067.avi,none,
images_5_068.avi,2s: ghost probing,
images_5_069.avi,none,
images_5_070.avi,none,
images_5_071.avi,2s: ghost probing,
images_5_072.avi,7s: ghost probing,
images_5_073.avi,none,
images_5_074.avi,3s: ghost probing,
images_5_075.avi,2s: ghost probing,
images_5_076.avi,2s: ghost probing,
images_5_077.avi,2s: ghost probing,
images_5_078.avi,none,
images_5_079.avi,none,
images_6_001.avi,none,
images_6_002.avi,5s: cut-in,
images_6_003.avi,6s: cut-in,
images_6_004.avi,2s: ghost probing,
images_6_005.avi,none,
images_6_006.avi,none,
images_6_007.avi,3s: ghost probing,
images_6_008.avi,3s: cut-in,
images_6_009.avi,5s: ghost probing,
images_6_010.avi,none,?
images_6_011.avi,none,
images_6_012.avi,none,
images_6_013.avi,none,
images_6_014.avi,5s: ghost probing,
images_6_015.avi,none,
images_6_016.avi,none,
images_6_017.avi,3s: ghost probing,
images_6_018.avi,5s: ghost probing,
images_6_019.avi,6s: cut-in,
images_6_020.avi,8s: ghost probing,
images_6_021.avi,none,
images_6_022.avi,5s: cut-in,
images_6_023.avi,none,
images_6_024.avi,2s: ghost probing,
images_6_025.avi,none,
images_6_026.avi,none,
images_6_027.avi,8s: cut-in,
images_6_028.avi,13s: cut-in,
images_6_029.avi,none,
images_6_030.avi,none,
images_6_031.avi,none,
images_6_032.avi,2s: cut-in,
images_6_033.avi,none,
images_6_034.avi,12s: ghost probing,
images_6_035.avi,6s: ghost probing,
images_6_036.avi,10s: ghost probing,
images_6_037.avi,none,
images_6_038.avi,none,
images_6_039.avi,none,
images_6_040.avi,1s: cut-in,?
images_6_041.avi,none,
images_6_042.avi,none,
images_6_043.avi,none,
images_6_044.avi,none,
images_6_045.avi,none,
images_6_046.avi,2s: ghost probing,
images_6_047.avi,5s: ghost probing,
images_6_048.avi,9s: cut-in,
images_6_049.avi,none,
images_6_050.avi,5s: ghost probing,
images_6_051.avi,12s: cut-in,
images_6_052.avi,none,
images_6_053.avi,4s: ghost probing,
images_6_054.avi,none,
images_6_055.avi,none,
images_6_056.avi,none,
images_6_057.avi,none,
images_6_058.avi,6s: cut-in,
images_6_059.avi,1s: cut-in,
images_6_060.avi,4s: ghost probing,
images_7_001.avi,none,
images_7_002.avi,none,
images_7_003.avi,10s: cut-in,
images_7_004.avi,9s: cut-in,
images_7_005.avi,5s: ghost probing,
images_7_006.avi,14s: ghost probing,
images_8_001.avi,none,
images_8_002.avi,none,
images_8_003.avi,none,
images_8_004.avi,none,
images_8_005.avi,none,
images_8_006.avi,none,
images_8_007.avi,10s: cut-in,
images_8_008.avi,none,
images_8_009.avi,none,
