video_id,video_number,predicted_label,true_label,confidence,ghost_type,processing_time
images_1_001,1_001,0,0,0.2,none,29.993484
images_1_002,1_002,0,1,0.2,none,0.28847
images_1_003,1_003,0,1,0.2,none,0.30777
images_1_004,1_004,0,0,0.2,none,0.297337
images_1_005,1_005,0,1,0.2,none,0.286537
images_1_006,1_006,0,1,0.2,none,0.284215
images_1_007,1_007,0,1,0.2,none,0.304783
images_1_008,1_008,0,1,0.2,none,0.238417
images_1_009,1_009,0,0,0.2,none,0.267042
images_1_010,1_010,0,1,0.2,none,0.284877
images_1_011,1_011,0,1,0.2,none,0.299171
images_1_012,1_012,0,1,0.2,none,0.433151
images_1_013,1_013,0,1,0.2,none,0.49655
images_1_014,1_014,0,1,0.2,none,0.268569
images_1_015,1_015,0,1,0.2,none,0.30037
images_1_016,1_016,0,1,0.2,none,0.258344
images_1_017,1_017,0,1,0.2,none,0.511241
images_1_018,1_018,0,0,0.2,none,0.255352
images_1_019,1_019,1,0,0.248,potential,0.267714
images_1_020,1_020,0,0,0.2,none,0.24027
images_1_021,1_021,0,1,0.2,none,0.251905
images_1_022,1_022,0,1,0.2,none,0.304362
images_1_023,1_023,0,0,0.2,none,0.265368
images_1_024,1_024,0,0,0.2,none,0.238753
images_1_025,1_025,0,0,0.2,none,0.266328
images_1_026,1_026,0,0,0.2,none,0.248678
images_1_027,1_027,0,1,0.2,none,0.243628
images_2_001,2_001,0,0,0.2,none,0.281632
images_2_002,2_002,0,0,0.2,none,0.312863
images_2_003,2_003,0,0,0.2,none,0.325181
images_2_004,2_004,0,0,0.2,none,0.269778
images_3_001,3_001,0,0,0.2,none,0.34878
images_3_002,3_002,0,1,0.2,none,0.262444
images_3_003,3_003,0,1,0.2,none,0.220719
images_3_004,3_004,0,0,0.2,none,0.325246
images_3_005,3_005,0,0,0.2,none,0.306233
images_3_006,3_006,0,1,0.2,none,0.317755
images_3_007,3_007,0,1,0.2,none,0.294486
images_4_001,4_001,0,0,0.2,none,0.259565
images_4_002,4_002,0,1,0.2,none,0.292172
images_4_003,4_003,0,1,0.2,none,0.301724
images_4_004,4_004,0,1,0.2,none,0.480385
images_4_005,4_005,0,1,0.2,none,0.339059
images_4_006,4_006,0,1,0.2,none,0.235612
images_4_007,4_007,0,0,0.2,none,0.311446
images_4_008,4_008,0,0,0.2,none,0.345717
images_5_001,5_001,0,0,0.2,none,0.25396
images_5_002,5_002,0,0,0.2,none,0.314618
images_5_003,5_003,0,0,0.2,none,0.434252
images_5_004,5_004,0,0,0.2,none,0.249323
images_5_005,5_005,0,1,0.2,none,0.269727
images_5_006,5_006,0,1,0.2,none,0.286876
images_5_007,5_007,0,0,0.2,none,0.284417
images_5_008,5_008,0,0,0.2,none,0.362044
images_5_009,5_009,0,0,0.2,none,0.321466
images_5_010,5_010,0,1,0.2,none,0.338914
images_5_011,5_011,0,1,0.2,none,0.350364
images_5_012,5_012,0,1,0.2,none,0.268731
images_5_013,5_013,0,0,0.2,none,0.270285
images_5_014,5_014,0,0,0.2,none,0.285579
images_5_015,5_015,0,1,0.2,none,0.256506
images_5_016,5_016,0,0,0.2,none,0.403878
images_5_017,5_017,0,0,0.2,none,0.268458
images_5_018,5_018,0,0,0.2,none,0.273373
images_5_019,5_019,0,0,0.2,none,0.334571
images_5_020,5_020,0,1,0.2,none,0.665177
images_5_021,5_021,0,1,0.2,none,0.241969
images_5_022,5_022,0,0,0.2,none,0.411522
images_5_023,5_023,0,1,0.2,none,0.44176
images_5_024,5_024,0,0,0.2,none,0.326791
images_5_025,5_025,0,0,0.2,none,0.298538
images_5_026,5_026,0,0,0.2,none,0.324142
images_5_027,5_027,0,1,0.2,none,0.239938
images_5_028,5_028,0,1,0.2,none,0.318786
images_5_029,5_029,0,0,0.2,none,0.275453
images_5_030,5_030,0,0,0.2,none,0.346494
images_5_031,5_031,0,1,0.2,none,0.252787
images_5_032,5_032,0,0,0.2,none,0.264623
images_5_033,5_033,0,1,0.2,none,0.219513
images_5_034,5_034,0,0,0.2,none,0.270781
images_5_035,5_035,0,1,0.2,none,0.271552
images_5_036,5_036,0,0,0.2,none,0.272115
images_5_037,5_037,0,1,0.2,none,0.231253
images_5_038,5_038,0,0,0.2,none,0.326773
images_5_040,5_040,0,0,0.2,none,0.327119
images_5_041,5_041,0,1,0.2,none,0.31015
images_5_042,5_042,0,0,0.2,none,0.411844
images_5_043,5_043,0,1,0.2,none,0.306964
images_5_044,5_044,0,1,0.2,none,0.343135
images_5_045,5_045,0,1,0.2,none,0.294943
images_5_046,5_046,0,1,0.2,none,0.215113
images_5_047,5_047,0,1,0.2,none,0.415165
images_5_048,5_048,0,0,0.2,none,0.274503
images_5_049,5_049,0,1,0.2,none,0.25266
images_5_050,5_050,0,1,0.2,none,0.236927
images_5_051,5_051,0,1,0.2,none,0.238637
images_5_052,5_052,0,1,0.2,none,0.237495
images_5_053,5_053,0,1,0.2,none,0.3034
images_5_054,5_054,0,0,0.2,none,0.310547
