video_name,gpt4o_segments,gemini_segments,segment_diff
images_10_011,2,2,0
images_10_076,1,1,0
images_10_031,2,2,0
images_10_009,2,2,0
images_10_078,3,1,2
images_10_045,1,2,1
images_10_062,2,2,0
images_11_003,2,2,0
images_11_007,2,2,0
images_10_026,2,2,0
images_10_043,1,2,1
images_10_039,2,2,0
images_10_047,1,2,1
images_10_053,1,2,1
images_10_079,1,2,1
images_10_021,2,2,0
images_11_004,1,1,0
images_10_033,2,2,0
images_10_060,2,2,0
images_10_056,1,2,1
images_11_013,1,1,0
images_10_038,2,2,0
images_10_003,1,1,0
images_10_055,3,1,2
images_10_010,2,2,0
images_10_035,1,2,1
images_10_082,3,1,2
images_10_049,1,1,0
images_10_050,1,2,1
images_10_041,1,2,1
images_10_028,2,2,0
images_10_058,2,2,0
images_10_019,2,2,0
images_10_054,1,2,1
images_10_081,3,1,2
images_10_008,2,2,0
images_10_005,2,2,0
images_11_016,2,2,0
images_10_044,1,2,1
images_10_014,2,2,0
images_10_040,1,2,1
images_10_066,1,1,0
images_10_042,1,2,1
images_11_009,2,2,0
images_10_007,2,2,0
images_10_063,2,2,0
images_10_001,3,3,0
images_10_002,2,2,0
images_10_077,1,1,0
images_10_084,3,1,2
images_10_057,1,2,1
images_10_030,2,2,0
images_10_061,1,1,0
images_10_073,1,1,0
images_10_072,1,1,0
images_10_036,2,2,0
images_10_075,2,2,0
images_10_029,2,2,0
images_11_010,2,2,0
images_10_015,1,1,0
images_10_083,1,2,1
images_10_016,2,2,0
images_10_052,1,2,1
images_10_023,2,2,0
images_10_013,2,2,0
images_10_027,2,2,0
images_10_032,2,2,0
images_10_051,1,2,1
images_10_017,2,2,0
images_10_074,1,1,0
images_10_037,1,2,1
images_10_034,2,2,0
images_11_015,2,2,0
images_10_069,1,2,1
images_10_065,1,1,0
images_10_059,1,1,0
images_10_067,2,2,0
images_11_005,2,2,0
images_10_071,1,1,0
images_11_012,2,2,0
images_10_046,1,2,1
images_10_006,2,2,0
images_10_064,2,2,0
images_11_014,2,2,0
images_10_020,2,2,0
images_10_048,2,2,0
images_10_025,2,2,0
images_10_004,1,1,0
images_11_002,2,2,0
images_10_070,2,2,0
images_10_024,2,2,0
images_10_068,1,2,1
images_11_001,1,1,0
images_11_011,1,1,0
images_10_012,2,2,0
images_10_080,1,2,1
images_11_008,2,2,0
images_10_022,2,2,0
images_10_018,2,2,0
images_11_006,2,2,0
