video_id,ground_truth,gt_normalized,gpt4o_prediction,gemini_prediction,gpt4o_correct,gemini_correct,both_correct,both_wrong,gpt4o_better,gemini_better
images_1_001,none,none,ghost probing,none,False,True,False,False,False,True
images_1_002,5s: ghost probing,ghost probing,none,ghost probing,False,True,False,False,False,True
images_1_003,2s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_004,none,none,ghost probing,none,False,True,False,False,False,True
images_1_005,8s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_006,9s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_007,6s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_008,3s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_009,none,none,FAILED,none,False,True,False,False,False,True
images_1_010,15s: ghost probing,ghost probing,FAILED,none,False,False,False,True,False,False
images_1_011,11s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_012,11s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_013,8s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_1_014,5s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_015,5s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_1_016,4s: ghost probing,ghost probing,none,ghost probing,False,True,False,False,False,True
images_1_017,17s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_018,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_019,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_020,none,none,ghost probing,none,False,True,False,False,False,True
images_1_021,3s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_1_022,5s: ghost probing,ghost probing,FAILED,none,False,False,False,True,False,False
images_1_023,none,none,ghost probing,none,False,True,False,False,False,True
images_1_024,none,none,none,none,True,True,True,False,False,False
images_1_025,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_026,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_1_027,4s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_2_001,none,none,ghost probing,none,False,True,False,False,False,True
images_2_002,none,none,ghost probing,none,False,True,False,False,False,True
images_2_003,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_2_004,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_3_001,none,none,none,none,True,True,True,False,False,False
images_3_002,4s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_3_003,2s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_3_004,none,none,none,none,True,True,True,False,False,False
images_4_001,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_4_002,6s: ghost probing,ghost probing,none,ghost probing,False,True,False,False,False,True
images_4_003,4s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_4_004,6s: ghost probing,ghost probing,FAILED,ghost probing,False,True,False,False,False,True
images_4_005,6s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_4_006,3s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_4_008,none,none,FAILED,ghost probing,False,False,False,True,False,False
images_5_001,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_002,cut-in,cut-in,ghost probing,none,False,False,False,True,False,False
images_5_003,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_010,5s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_5_014,none,none,FAILED,none,False,True,False,False,False,True
images_5_015,2s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_5_016,none,none,FAILED,ghost probing,False,False,False,True,False,False
images_5_017,none,none,ghost probing,none,False,True,False,False,False,True
images_5_019,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_023,7s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
images_5_028,7s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_5_029,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_031,2s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_5_032,none,none,ghost probing,none,False,True,False,False,False,True
images_5_034,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_041,5s: ghost probing,ghost probing,none,none,False,False,False,True,False,False
images_5_042,none,none,ghost probing,ghost probing,False,False,False,True,False,False
images_5_045,5s: ghost probing,ghost probing,ghost probing,ghost probing,True,True,True,False,False,False
images_5_048,none,none,ghost probing,none,False,True,False,False,False,True
images_5_049,3s: ghost probing,ghost probing,ghost probing,none,True,False,False,False,True,False
