video_id,ground_truth,predicted,result_type,key_actions,summary
images_1_001,False,True,FP,ghost probing,The vehicle starts driving on a road with buildings on either side. Other vehicles are visible in th...
images_1_002,True,True,TP,ghost probing,"The vehicle is driving on a rural road. From 0.0s to 4.0s, the vehicle is driving straight. At 4.0s,..."
images_1_003,True,False,FN,none,"The vehicle is driving on a road at night. Initially, the road appears relatively clear, but as the ..."
images_1_004,False,True,FP,ghost probing,The vehicle is driving on a road with buildings and trees on the right. A person suddenly appears fr...
images_1_005,True,True,TP,ghost probing,The vehicle is driving on a wet road in rainy conditions. There are many pedestrians on the right si...
images_1_006,True,True,TP,ghost probing,"The vehicle is driving on a city street with heavy traffic. Initially, the vehicle is moving slowly ..."
images_1_007,True,False,FN,none,The vehicle starts driving on a two-lane road with moderate traffic. Pedestrians are walking on the ...
images_1_008,True,False,FN,none,The vehicle starts driving down a residential street with parked vehicles on the left and pedestrian...
images_1_009,False,False,TN,none,The video shows a car driving on a road at night. Two pedestrians suddenly appear and cross the road...
images_1_010,True,False,FN,none,The vehicle is driving on a straight road with moderate traffic. The road is lined with trees and bu...
images_1_011,True,True,TP,ghost probing,"The vehicle is driving on a road with moderate traffic. Initially, the vehicle maintains a steady sp..."
images_1_012,True,True,TP,ghost probing,The vehicle is driving down a street with parked cars on the right. Pedestrians are crossing the str...
images_1_013,True,True,TP,ghost probing,"The vehicle is driving on a rural road. Initially, the road is clear. As the vehicle progresses, sev..."
images_1_014,True,True,TP,ghost probing,"The vehicle is driving on a narrow rural road. Initially, the road appears clear, but as the vehicle..."
images_1_015,True,True,TP,ghost probing,"The vehicle starts driving down a narrow street. Initially, the road appears relatively clear, but s..."
images_1_016,True,True,TP,ghost probing,The vehicle is driving on a multi-lane road with other cars present. A pedestrian suddenly appears f...
images_1_017,True,False,FN,none,The vehicle is driving down a road with buses on either side. The vehicle maintains its lane and spe...
images_1_018,False,True,FP,ghost probing,The vehicle is driving on a street with parked cars on both sides. Pedestrians are crossing the stre...
images_1_019,False,True,FP,ghost probing,"The vehicle is driving on a road in a rural area. Initially, the road appears clear. However, a man ..."
images_1_020,False,False,TN,none,"The video shows a car driving at night. Initially, the road is clear. A motorcyclist appears on the ..."
images_1_021,True,True,TP,ghost probing,The video shows a car driving on a wet road in rainy conditions. A bus is present on the left side o...
images_1_022,True,False,FN,none,The vehicle starts driving on a multi-lane road with other vehicles present. The vehicle approaches ...
images_1_023,False,False,TN,none,The vehicle is initially approaching a crosswalk with pedestrians. A pedestrian is hit by a car on t...
images_1_024,False,False,TN,none,The video shows a car driving on a road with other vehicles present. The car maintains a steady spee...
images_1_025,False,True,FP,ghost probing,The vehicle is traveling on a highway with mountains on either side. Two construction workers are wo...
images_1_026,False,True,FP,ghost probing,The video shows a car driving at night on a road with other vehicles. A pedestrian suddenly appears ...
images_1_027,True,False,FN,none,The vehicle is driving on a narrow road through a rural or suburban area. The road appears to be rel...
images_2_001,False,False,TN,none,The vehicle is driving on a crowded street with pedestrians and motorcyclists moving in both directi...
images_2_002,False,False,TN,none,The vehicle is driving on a narrow road in a rural area. Several people are standing and working on ...
images_2_003,False,True,FP,ghost probing,"The vehicle approaches an intersection. Initially, the vehicle is moving forward at a steady speed. ..."
images_2_004,False,True,FP,ghost probing,The vehicle approaches an intersection with pedestrians crossing the road. The pedestrians are cross...
images_3_001,False,False,TN,none,The vehicle is driving on a city street with moderate traffic. The road is straight and there are ve...
images_3_002,True,False,FN,none,"The vehicle is driving on a road with barriers on both sides, approaching an intersection. There are..."
images_3_003,True,True,TP,ghost probing,The vehicle approaches an intersection. A cyclist on the right side of the frame suddenly enters the...
