video_id,ground_truth,drivelm,gpt41_balanced,gemini_balanced
images_1_001,none,none,ghost probing,ghost probing
images_1_002,5s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_003,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_004,none,ghost probing,ghost probing,ghost probing
images_1_005,8s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_006,9s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_007,6s: ghost probing,ghost probing,ghost probing,none
images_1_008,3s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_009,none,none,ghost probing,ghost probing
images_1_010,15s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_011,11s: ghost probing,none,ghost probing,ghost probing
images_1_012,11s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_013,8s: ghost probing,none,ghost probing,ghost probing
images_1_014,5s: ghost probing,none,ghost probing,ghost probing
images_1_015,5s: ghost probing,none,none,none
images_1_016,4s: ghost probing,ghost probing,ghost probing,ghost probing
images_1_017,17s: ghost probing,ghost probing,ghost probing,none
images_1_018,none,none,none,ghost probing
images_1_019,none,ghost probing,ghost probing,ghost probing
images_1_020,none,none,ghost probing,none
images_1_021,3s: ghost probing,none,ghost probing,ghost probing
images_1_022,5s: ghost probing,none,ghost probing,none
images_1_023,none,none,ghost probing,none
images_1_024,none,none,ghost probing,none
images_1_025,none,none,ghost probing,ghost probing
images_1_026,none,none,none,ghost probing
images_1_027,4s: ghost probing,none,ghost probing,none
images_2_001,none,ghost probing,ghost probing,none
images_2_002,none,ghost probing,ghost probing,ghost probing
images_2_003,none,none,ghost probing,ghost probing
images_2_004,none,none,none,none
images_2_005,none,none,none,none
images_3_001,none,none,ghost probing,none
images_3_002,4s: ghost probing,ghost probing,ghost probing,ghost probing
images_3_003,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_3_004,none,ghost probing,ghost probing,none
images_3_005,none,none,ghost probing,none
images_3_006,4s: ghost probing,ghost probing,ghost probing,none
images_3_007,3s: ghost probing,none,ghost probing,ghost probing
images_4_001,none,none,ghost probing,ghost probing
images_4_002,6s: ghost probing,none,ghost probing,ghost probing
images_4_003,4s: ghost probing,none,ghost probing,ghost probing
images_4_004,6s: ghost probing,none,none,ghost probing
images_4_005,6s: ghost probing,none,ghost probing,ghost probing
images_4_006,3s: ghost probing,ghost probing,ghost probing,ghost probing
images_4_007,none,ghost probing,none,none
images_4_008,none,none,ghost probing,ghost probing
images_5_001,none,ghost probing,ghost probing,none
images_5_002,cut-in,none,ghost probing,none
images_5_003,none,none,ghost probing,none
images_5_004,none,none,ghost probing,none
images_5_005,5s: ghost probing,ghost probing,ghost probing,none
images_5_006,6s: ghost probing,none,ghost probing,ghost probing
images_5_007,none,none,ghost probing,ghost probing
images_5_008,none,ghost probing,ghost probing,ghost probing
images_5_009,none,none,ghost probing,ghost probing
images_5_010,5s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_011,3s: ghost probing,none,ghost probing,ghost probing
images_5_012,13s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_013,none,none,ghost probing,none
images_5_014,none,none,ghost probing,ghost probing
images_5_015,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_016,none,none,ghost probing,ghost probing
images_5_017,none,none,ghost probing,ghost probing
images_5_018,none,none,none,none
images_5_019,none,ghost probing,ghost probing,none
images_5_020,11s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_021,4s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_022,none,none,ghost probing,none
images_5_023,7s: ghost probing,none,ghost probing,ghost probing
images_5_024,none,none,ghost probing,none
images_5_025,none,none,ghost probing,ghost probing
images_5_026,none,ghost probing,ghost probing,ghost probing
images_5_027,3s: ghost probing,none,ghost probing,ghost probing
images_5_028,7s: ghost probing,none,ghost probing,ghost probing
images_5_029,none,none,ghost probing,ghost probing
images_5_030,none,none,ghost probing,ghost probing
images_5_031,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_032,none,none,ghost probing,ghost probing
images_5_033,5s: ghost probing,ghost probing,ghost probing,none
images_5_034,none,ghost probing,ghost probing,ghost probing
images_5_035,12s: ghost probing,none,ghost probing,ghost probing
images_5_036,none,none,ghost probing,ghost probing
images_5_037,6s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_038,13: cut-in,ghost probing,ghost probing,ghost probing
 ,7s: ghost probing,ghost probing,none,none
images_5_040,none,none,ghost probing,none
images_5_041,5s: ghost probing,none,ghost probing,none
images_5_042,none,none,ghost probing,ghost probing
images_5_043,13s: ghost probing,ghost probing,ghost probing,none
images_5_044,4s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_045,5s: ghost probing,none,ghost probing,none
images_5_046,2s: ghost probing,none,ghost probing,ghost probing
images_5_047,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_048,none,none,ghost probing,ghost probing
images_5_049,3s: ghost probing,ghost probing,ghost probing,none
images_5_050,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_051,2s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_052,3s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_053,7s: ghost probing,ghost probing,ghost probing,ghost probing
images_5_054,none,none,ghost probing,none
