video_id,ground_truth,原版GPT-4.1_pred,原版GPT-4.1_correct,改进版GPT-4.1_pred,改进版GPT-4.1_correct,平衡版GPT-4.1_pred,平衡版GPT-4.1_correct
images_3_006,1,1,True,1,True,1,True
images_1_026,0,1,False,0,True,0,True
images_1_017,1,1,True,1,True,1,True
images_2_002,0,1,False,0,True,1,False
images_1_015,1,1,True,0,False,0,False
images_1_024,0,1,False,0,True,1,False
images_3_001,0,1,False,1,False,1,False
images_1_003,1,1,True,0,False,1,True
images_1_022,1,1,True,0,False,1,True
images_3_003,1,1,True,0,False,1,True
images_1_021,1,1,True,0,False,1,True
images_1_014,1,1,True,0,False,1,True
images_1_019,0,1,False,0,True,1,False
images_1_002,1,1,True,0,False,1,True
images_1_007,1,1,True,1,True,1,True
images_3_002,1,1,True,0,False,1,True
images_1_006,1,1,True,0,False,1,True
images_3_004,0,1,False,1,False,1,False
images_2_001,0,1,False,0,True,1,False
images_1_025,0,1,False,0,True,1,False
images_1_011,1,1,True,0,False,1,True
images_1_009,0,1,False,0,True,1,False
images_1_004,0,1,False,0,True,1,False
images_1_005,1,1,True,1,True,1,True
images_1_001,0,1,False,0,True,1,False
images_1_010,1,1,True,1,True,1,True
images_2_003,0,1,False,0,True,1,False
images_1_008,1,1,True,0,False,1,True
images_1_018,0,1,False,0,True,0,True
images_3_005,0,1,False,0,True,1,False
images_2_004,0,1,False,1,False,0,True
images_1_023,0,1,False,0,True,1,False
images_1_013,1,1,True,1,True,1,True
images_1_027,1,1,True,0,False,1,True
