video_id,ground_truth,原版GPT-4.1_pred,原版GPT-4.1_correct,平衡版GPT-4.1_pred,平衡版GPT-4.1_correct
images_5_054,0,1,False,1,False
images_5_008,0,1,False,1,False
images_1_016,1,1,True,1,True
images_1_015,1,1,True,0,False
images_1_024,0,1,False,1,False
images_5_021,1,1,True,1,True
images_5_027,1,1,True,1,True
images_5_007,0,1,False,1,False
images_5_049,1,1,True,1,True
images_5_047,1,1,True,1,True
images_4_002,1,1,True,1,True
images_5_043,1,1,True,1,True
images_5_041,1,1,True,1,True
images_1_025,0,1,False,1,False
images_1_009,0,1,False,1,False
images_5_037,1,1,True,1,True
images_1_001,0,1,False,1,False
images_1_010,1,1,True,1,True
images_5_017,0,1,False,1,False
images_3_007,1,1,True,1,True
images_5_012,1,1,True,1,True
images_1_020,0,1,False,1,False
images_5_052,1,1,True,1,True
images_4_004,1,1,True,0,False
images_2_004,0,1,False,0,True
images_4_001,0,1,False,1,False
images_5_046,1,1,True,1,True
images_1_021,1,1,True,1,True
images_5_022,0,1,False,1,False
images_5_011,1,1,True,1,True
images_1_002,1,1,True,1,True
images_5_044,1,1,True,1,True
images_5_003,0,1,False,1,False
images_5_004,0,1,False,1,False
images_4_003,1,1,True,1,True
images_5_028,1,1,True,1,True
images_1_005,1,1,True,1,True
images_5_032,0,1,False,1,False
images_5_040,0,1,False,1,False
images_1_008,1,1,True,1,True
images_5_051,1,1,True,1,True
images_5_042,0,1,False,1,False
images_5_045,1,1,True,1,True
images_5_033,1,1,True,1,True
images_5_018,0,1,False,0,True
images_1_026,0,1,False,0,True
images_1_017,1,1,True,1,True
images_2_002,0,1,False,1,False
images_5_050,1,1,True,1,True
images_1_022,1,1,True,1,True
images_1_003,1,1,True,1,True
images_1_014,1,1,True,1,True
images_5_001,0,1,False,1,False
images_1_007,1,1,True,1,True
images_3_002,1,1,True,1,True
images_5_038,1,1,True,1,True
images_1_006,1,1,True,1,True
images_5_009,0,1,False,1,False
images_5_015,1,1,True,1,True
images_5_020,1,1,True,1,True
images_1_011,1,1,True,1,True
images_1_004,0,1,False,1,False
images_5_024,0,1,False,1,False
images_5_010,1,1,True,1,True
images_4_006,1,1,True,1,True
images_5_013,0,1,False,1,False
images_4_007,0,1,False,0,True
images_4_008,0,1,False,1,False
images_5_002,1,1,True,1,True
images_5_014,0,1,False,1,False
images_1_018,0,1,False,0,True
images_5_053,1,1,True,1,True
images_1_012,1,1,True,1,True
images_1_023,0,1,False,1,False
images_1_013,1,1,True,1,True
images_3_001,0,1,False,1,False
images_5_006,1,1,True,1,True
images_3_006,1,1,True,1,True
images_5_019,0,1,False,1,False
images_5_030,0,1,False,1,False
images_5_036,0,1,False,1,False
images_5_023,1,1,True,1,True
images_3_003,1,1,True,1,True
images_5_005,1,1,True,1,True
images_1_019,0,1,False,1,False
images_5_035,1,1,True,1,True
images_3_004,0,1,False,1,False
images_5_034,0,1,False,1,False
images_2_001,0,1,False,1,False
images_5_026,0,1,False,1,False
images_5_031,1,1,True,1,True
images_5_016,0,1,False,1,False
images_5_048,0,1,False,1,False
images_2_003,0,1,False,1,False
images_5_025,0,1,False,1,False
images_3_005,0,1,False,1,False
images_5_029,0,1,False,1,False
images_4_005,1,1,True,1,True
images_1_027,1,1,True,1,True
